puzzle,solution,zeros,clues,bin_label
645230190713945268928761453270453809139827546850196732362504071481679320507312004,645238197713945268928761453276453819139827546854196732362584971481679325597312684,11,70,zeros_08_11
572489631049031257361572408735104862418263509926857314083905726254710983697308105,572489631849631257361572498735194862418263579926857314183945726254716983697328145,10,71,zeros_08_11
849726351072930468361045729294657813786190542135284697628479035900568074457312906,849726351572931468361845729294657813786193542135284697628479135913568274457312986,9,72,zeros_08_11
865432907471659302239187506540091703798063104316574829657348291924715638183926475,865432917471659382239187546542891763798263154316574829657348291924715638183926475,8,73,zeros_08_11
158279634290100857470865129905042718814307260627580943381756492742913586569428371,158279634296134857473865129935642718814397265627581943381756492742913586569428371,9,72,zeros_08_11
583140276246537090971628004427361985860974023139852647398415762710290058652780419,583149276246537891971628534427361985865974123139852647398415762714296358652783419,11,70,zeros_08_11
493756812865030709071900563726381095358204671149675328587419236614023957032567184,493756812865132749271948563726381495358294671149675328587419236614823957932567184,10,71,zeros_08_11
172536984894172503305080127006795431901843276437621895708064352643258719529317648,172536984894172563365489127286795431951843276437621895718964352643258719529317648,9,72,zeros_08_11
519372640482569137736148295240053010601487352853010479174625983025830761368791524,519372648482569137736148295247953816691487352853216479174625983925834761368791524,10,71,zeros_08_11
790642801642850739581793624410567382378924165256138947060285403830019276024376098,793642851642851739581793624419567382378924165256138947967285413835419276124376598,11,70,zeros_08_11
871004059563890142942560738619253874487619523005478961194736285326985417758100396,871324659563897142942561738619253874487619523235478961194736285326985417758142396,9,72,zeros_08_11
582931647069874532374526981605189374741352869803467025016798053007615208058243716,582931647169874532374526981625189374741352869893467125216798453437615298958243716,10,71,zeros_08_11
917683520625104983834209010571896342382541690460732158796425831003968275208317069,917683524625174983834259716571896342382541697469732158796425831143968275258317469,11,70,zeros_08_11
402857193598136724317940586135769842926418357874325961000093278280671435750084619,462857193598136724317942586135769842926418357874325961641593278289671435753284619,9,72,zeros_08_11
520000839473598621918203754831670592249385167765912300654721983192836475387459206,526147839473598621918263754831674592249385167765912348654721983192836475387459216,9,72,zeros_08_11
