puzzle,solution,zeros,clues,bin_label
001705302600090004009000067002300700100000000400256000000970001000000006020001000,841765392637192584259438167562319748193847625478256913386974251914523876725681439,56,25,zeros_56_59
024300800000000000000005006360071002000000109080004000293010000006000357000403000,724396815651728934938145726369871542547632189182954673293517468416289357875463291,56,25,zeros_56_59
000000000000805004070010083000300160000059000008000290005900000302507409000600070,824793651193865724576412983259348167617259348438176295745921836362587419981634572,56,25,zeros_56_59
046500000000900072000831500310000090050070830000180000000006000020300900907000000,146527389583964172279831546318652794652479831794183625435796218821345967967218453,56,25,zeros_56_59
032000004071800000000060000005700900000008000820100600500000007000903060000002310,632519784971824536458367192145736928367298451829145673593681247214973865786452319,58,23,zeros_56_59
003020870070040000806090050000200000000760030205000100000003000007002590590000200,453126879971548326826397451739214685184765932265839147642953718317682594598471263,56,25,zeros_56_59
000000000000006009720300100079030200300700050800001007040068000100204900000003500,984517632513426879726389145479835261361792458852641397245968713137254986698173524,56,25,zeros_56_59
009006300000010000120004000040008000005000210007002006572000100600020043000000807,459286371768315492123974658246198735895637214317452986572843169681729543934561827,56,25,zeros_56_59
060004090000000038000500000000752006000003070700160000028000005307026004000000780,861234597275691438439578621983752146516483279742169853128947365357826914694315782,56,25,zeros_56_59
208003000006004005090002800004000000000140070000200014809400200170500000000070008,248953761736814925591762843614397582382145679957286314869431257173528496425679138,56,25,zeros_56_59
000000080936000041000305600020009470710080000500000000000153007008000000000760900,245691783936872541187345692823519476714286359569437218492153867678924135351768924,56,25,zeros_56_59
000000500780000000005614000000050000001800020030002805010090000090080140600040032,149728563786935214325614789862459371951873426437162895214397658593286147678541932,56,25,zeros_56_59
030000600000008014000100509900006070005200000640000008000600000804012050007009400,431975682596328714278164539913486275785291346642537198159643827864712953327859461,56,25,zeros_56_59
000300007030402050057008001100030080000700000400800000000900100090054030705000900,846315297931472856257698341179536482528749613463821579384967125692154738715283964,56,25,zeros_56_59
860500000071600085005002000703000010000400000000000600900063500004020000580090070,862571439371649285495382167743256918659418723218937654927863541134725896586194372,56,25,zeros_56_59
010090700040800009050007008002000000001603007700900160078002000000040000000006045,816295734347861529259437618562174983981623457734958162478512396625349871193786245,56,25,zeros_56_59
100000000000007006046530270307060080080300405060001000000004700000600000200000630,172846593593217846846539271327465189981372465465981327638194752754623918219758634,56,25,zeros_56_59
274006800100908020000070000008000300009030006000004900000000005500061430020000100,274356819165948723983172564658219347419537286732684951841723695597861432326495178,56,25,zeros_56_59
008000020000052601000107000000000940000020016001308700009010000600000000030800574,518639427793452681264187395826571943375924816941368752459713268687245139132896574,56,25,zeros_56_59
810030040000057210000008005008000506000502000409100000670000401000040002000060000,815239647936457218742618935128394576367582194459176823673925481591843762284761359,56,25,zeros_56_59
000600000008200004000010063040000601006908700050700000090000000080094032000005010,914683257368257194275419863749532681136948725852761349591326478687194532423875916,57,24,zeros_56_59
050000000140050000020006007703000804090004300000007020900302640001005000800600000,657928413148753962329146587713269854592814376486537129975382641261495738834671295,56,25,zeros_56_59
430009080907000500000007960000000000200000830005600040000500000000008392309020006,436159287927386514158247963793814625264975831815632749642593178571468392389721456,56,25,zeros_56_59
400502710062000400000094800090000008008007900000400060000050004000270050000003009,489562713762831495315794826697325148548617932123489567271956384934278651856143279,56,25,zeros_56_59
201070000000009080065034210500000000040000060003702000000060003002000040090501700,281675439437129685965834217529486371748913562613752894174268953852397146396541728,56,25,zeros_56_59
800001700000006002154020000000000040760004903030009001000070000070500200613000000,826341795397856412154927386289135647761284953435769821542678139978513264613492578,56,25,zeros_56_59
070960000040000003100050007700380001230000070000009200001700004009120000000000059,573968412948217563162453897795382641236541978814679235681795324359124786427836159,56,25,zeros_56_59
407000090000057206000080000000009600008000039302000004640000020270010005000043000,487362591931457286526981473754839612168524739392176854643795128279618345815243967,56,25,zeros_56_59
100000004000000203450003800208000000000004000039080070007200300380001005000007098,173862954896745213452913867248579631761324589539186472917258346384691725625437198,56,25,zeros_56_59
000080070060009001070005000200008000030021065000060040009500003100000200027300004,352184679468279531971635428216458397734921865895763142689542713143897256527316984,56,25,zeros_56_59
600100000007406000003052008000000002000020806840300700400001200000000900095003001,684139527257486193913752468569817342371924856842365719438691275126578934795243681,56,25,zeros_56_59
829000060000046000100200700060000078003621000500004000075900200000000000000500041,829175364357846912146293785264359178783621459591784623475918236618432597932567841,56,25,zeros_56_59
900054000000000092000090000020000000030460501000003764600000009003700800750080400,961254387345678192278391645426517938837469521519823764684135279193742856752986413,56,25,zeros_56_59
000800506600002019200390000000210000007600800043080200000000405000040000000109003,439871526678452319251396748865217934927634851143985267312768495796543182584129673,56,25,zeros_56_59
050000209709008001000026000000000134080010600060340050400100007000004005200000000,653471289729538461148926573572689134384715692961342758496153827837264915215897346,56,25,zeros_56_59
201070000007340090000080020900400060010209000070000005009000003000000107760500009,251976438687342591394185726935417862816259374472863915149728653523694187768531249,56,25,zeros_56_59
000006013040000000002008050000000500070003008100920340050000000000609000403701086,985246713346517892712398654239874561574163928168925347657482139821639475493751286,56,25,zeros_56_59
060003480200009050500000009000095000790002100004000200000600000003010004009030017,961753482247869351538241769312495876796382145854176293175624938683917524429538617,56,25,zeros_56_59
100037006000000900300005080820106300001700000006000008000950030602004070080000000,198437526275861943364295781829146357531789264746523198417958632652314879983672415,56,25,zeros_56_59
090500380000004000200009000008906000730001500620050070800020000000000100005000064,496512387583764912217839645158976423734281596629453871841625739962347158375198264,57,24,zeros_56_59
