puzzle,solution,zeros,clues,bin_label
549830671378410059216000348835679412162084095497251836754968123083020564621003087,549832671378416259216795348835679412162384795497251836754968123983127564621543987,14,67,zeros_12_15
451960237070143568300570419936410780140006390825007641084621953613759824592834176,451968237279143568368572419936415782147286395825397641784621953613759824592834176,15,66,zeros_12_15
415936280936270541702050060041020678629387054578614300853792416260143895194805732,415936287936278541782451963341529678629387154578614329853792416267143895194865732,15,66,zeros_12_15
840265719150837026260194085692041007485973200701628594928406173570312940314789652,843265719159837426267194385692541837485973261731628594928456173576312948314789652,14,67,zeros_12_15
574968321923150768610027945700519406346872019195436872000605194869700253451293680,574968321923154768618327945782519436346872519195436872237685194869741253451293687,14,67,zeros_12_15
698570213405182079721396485069415837507860902840900561352041798906038150184709326,698574213435182679721396485269415837517863942843927561352641798976238154184759326,15,66,zeros_12_15
001786429247530816689102375092060704054827961176954280915478632408013597703295148,531786429247539816689142375892361754354827961176954283915478632428613597763295148,13,68,zeros_12_15
514762389297080614683491520758910432026847001149235870872650040401328000935174268,514762389297583614683491527758916432326847951149235876872659143461328795935174268,15,66,zeros_12_15
594067318783405629126398547309681052051724093842039106237140005915003264468952731,594267318783415629126398547379681452651724893842539176237146985915873264468952731,13,68,zeros_12_15
930824751147635289528170346471902038052367194069481527000513062280046015615098473,936824751147635289528179346471952638852367194369481527794513862283746915615298473,14,67,zeros_12_15
980327100560918340132654890201769038798143526346582971619235784005496213020071659,984327165567918342132654897251769438798143526346582971619235784875496213423871659,13,68,zeros_12_15
581463927942578063630912584203890641406731892810046730360104209190627358708009416,581463927942578163637912584273895641456731892819246735365184279194627358728359416,15,66,zeros_12_15
540328019021765348603410750890541230352697481000832960768203194415976823239184576,547328619921765348683419752896541237352697481174832965768253194415976823239184576,13,68,zeros_12_15
230015469954236780186049253520078106419300875678951300345190608762503014891624537,237815469954236781186749253523478196419362875678951342345197628762583914891624537,15,66,zeros_12_15
508472190942103857317905024670804915894507206250396748429708560185649372736251489,568472193942163857317985624673824915894517236251396748429738561185649372736251489,12,69,zeros_12_15
731068025592301867460270391953827614274516930106493072009152706007630259625789143,731968425592341867468275391953827614274516938186493572349152786817634259625789143,14,67,zeros_12_15
167003004203495167500617823418536970679084350352179640731052486926348715045761230,167823594283495167594617823418536972679284351352179648731952486926348715845761239,14,67,zeros_12_15
780309541392514876541768029804231967639847052107695403915406008473102695268053704,786329541392514876541768329854231967639847152127695483915476238473182695268953714,13,68,zeros_12_15
624793815591468723073125064000809156468517239159236478316082547007650390045071682,624793815591468723873125964732849156468517239159236478316982547287654391945371682,13,68,zeros_12_15
020015470946708512570402386209580701064270958085941263657129834490867125812354607,328615479946738512571492386239586741164273958785941263657129834493867125812354697,15,66,zeros_12_15
003749528025386719798521436500802193239415687861903205106037054902050371357194062,613749528425386719798521436574862193239415687861973245186237954942658371357194862,15,66,zeros_12_15
725346189348021675169875423014590836893400750576100902637010098480659017951708264,725346189348921675169875423214597836893462751576183942637214598482659317951738264,15,66,zeros_12_15
471562903368410052529837461614258000982173645730946108050304006296781534140625897,471562983368419752529837461614258379982173645735946128857394216296781534143625897,14,67,zeros_12_15
561908342237104968498236750756300009123869475049715036384591627975623084610400503,561978342237154968498236751756342819123869475849715236384591627975623184612487593,14,67,zeros_12_15
560980401849123576172564009034698007917450068058731294386219705091375682725846010,563987421849123576172564839234698157917452368658731294386219745491375682725846913,15,66,zeros_12_15
089046532375821004206059187651493728704502601028160345413978256060234819892015473,189746532375821964246359187651493728734582691928167345413978256567234819892615473,14,67,zeros_12_15
192473586468015700375600004086540030534281679921367450853704261647130895219850347,192473586468915723375628914786549132534281679921367458853794261647132895219856347,15,66,zeros_12_15
030140629640825713271396458065914072190203584423578106354789261916050837082031945,538147629649825713271396458865914372197263584423578196354789261916452837782631945,13,68,zeros_12_15
861257009592013780430908251129534867754186932680029000075341698946875103318692570,861257349592413786437968251129534867754186932683729415275341698946875123318692574,14,67,zeros_12_15
405681793103070406076934000681790254047015639359206178532169847764358901918427365,425681793193572486876934512681793254247815639359246178532169847764358921918427365,14,67,zeros_12_15
471506023892034765063927801207053498006218357080749206058392670620875139739461582,471586923892134765563927841217653498946218357385749216158392674624875139739461582,15,66,zeros_12_15
416587392783924156025063784032406875659008241847210963361859427594702608078640530,416587392783924156925163784132496875659378241847215963361859427594732618278641539,12,69,zeros_12_15
482176059579380601163952400845731296697020043230409587320697015716840932950213764,482176359579384621163952478845731296697528143231469587324697815716845932958213764,14,67,zeros_12_15
890265010714398256256040980180429365065780142430516009628904531341852600579631428,893265714714398256256147983187429365965783142432516879628974531341852697579631428,15,66,zeros_12_15
378001400619320807405879063264735918581492736907168542750943281102086374843207695,378651429619324857425879163264735918581492736937168542756943281192586374843217695,13,68,zeros_12_15
627109504341586297895274361419362875206758019708901623100895742082417936074623100,627139584341586297895274361419362875236758419758941623163895742582417936974623158,12,69,zeros_12_15
652190807873564201900278365296381754781645920345000186120457630439816572560032410,652193847873564291914278365296381754781645923345729186128457639439816572567932418,14,67,zeros_12_15
948013005520079618671528430495837102032196547067254083710342806256701394384960701,948613275523479618671528439495837162832196547167254983719342856256781394384965721,15,66,zeros_12_15
791538246405976301300241095539067428070382159012495603253814967907603812180729534,791538246425976381368241795539167428674382159812495673253814967947653812186729534,13,68,zeros_12_15
004582916621479085958316247510860429847290561260145873405901038080754092192030754,734582916621479385958316247513867429847293561269145873475921638386754192192638754,15,66,zeros_12_15
200695847054718026678024150390481060860539714041267983409176530035942678726853491,213695847954718326678324159397481265862539714541267983489176532135942678726853491,14,67,zeros_12_15
871600532024001900369275841685123497492756183130890625956032718043500269208967350,871649532524381976369275841685123497492756183137894625956432718743518269218967354,15,66,zeros_12_15
470931682060475103093062457050193026906248735038650904021786549547319208689524371,475931682862475193193862457754193826916248735238657914321786549547319268689524371,15,66,zeros_12_15
834051097972384050516279438293418700147506982658792304069145820385920601421063579,834651297972384156516279438293418765147536982658792314769145823385927641421863579,13,68,zeros_12_15
079130862530286940620470135940521683215060479063794021354612798790058214082947356,479135862531286947628479135947521683215863479863794521354612798796358214182947356,14,67,zeros_12_15
512397468040261503307548219150682794070435821820000635791824356405076980286953147,512397468948261573367548219153682794679435821824719635791824356435176982286953147,14,67,zeros_12_15
271890356805630219369200874984701623612483795537920481408562030006078942723149568,271894356845637219369215874984751623612483795537926481498562137156378942723149568,13,68,zeros_12_15
932850416476391580581200930293164805854973260100082394615438720329715648748600053,932857416476391582581246937293164875854973261167582394615438729329715648748629153,14,67,zeros_12_15
062390715005861923910750486001537049237946058594218367048673590729485631306129004,862394715475861923913752486681537249237946158594218367148673592729485631356129874,15,66,zeros_12_15
972645183381729405065813792738164520194502376250037840529378614003496057607001938,972645183381729465465813792738164529194582376256937841529378614813496257647251938,13,68,zeros_12_15
738025491469103275520497086150730968003540702276918534315009807682304109947851623,738625491469183275521497386154732968893546712276918534315269847682374159947851623,15,66,zeros_12_15
009724168100569734074103952096370820015248697720091543963417085257836419841902376,539724168182569734674183952496375821315248697728691543963417285257836419841952376,14,67,zeros_12_15
026405879001328064854697132432971000018532947597864213740009320183246795269753081,326415879971328564854697132432971658618532947597864213745189326183246795269753481,14,67,zeros_12_15
235816749671594328498723165010260400764381592082009603109630854807142930346950201,235816749671594328498723165913265487764381592582479613129637854857142936346958271,15,66,zeros_12_15
470839216060542803832617459008376905307295601609081307784953162596124738013768594,475839216961542873832617459128376945347295681659481327784953162596124738213768594,13,68,zeros_12_15
196782345028653971703049600045821739817304526932506814564207198071968003389005260,196782345428653971753149682645821739817394526932576814564237198271968453389415267,15,66,zeros_12_15
210007563000453912935021487163702805809546321542138796307814659658279104490365278,214987563786453912935621487163792845879546321542138796327814659658279134491365278,13,68,zeros_12_15
803400576425070319709010824578620431602143758301580962280751693037264185156938247,813492576425876319769315824578629431692143758341587962284751693937264185156938247,14,67,zeros_12_15
364175982721089654095624137070538246236410890040062371652803719013750428487291003,364175982721389654895624137179538246236417895548962371652843719913756428487291563,14,67,zeros_12_15
592438107376092805148057392700980204689041050401370089937864521265019438814523976,592438167376192845148657392753986214689241753421375689937864521265719438814523976,15,66,zeros_12_15
064297815098165024125830796203786951851923647609051200530640109916070408487319562,364297815798165324125834796243786951851923647679451283532648179916572438487319562,15,66,zeros_12_15
279014386368097000451608927915423708024809530083175294106702053842351679537986012,279514386368297145451638927915423768724869531683175294196742853842351679537986412,15,66,zeros_12_15
836279500514863279902415638401052963267391845300680007643928751128547306750136482,836279514514863279972415638481752963267391845395684127643928751128547396759136482,12,69,zeros_12_15
256981734394006851817345692935260407601574080748193026509017203173052948462809100,256981734394726851817345692935268417621574389748193526589417263173652948462839175,15,66,zeros_12_15
072356019869127304300940002295013648736804501148260930913582476524679083687031295,472356819869127354351948762295713648736894521148265937913582476524679183687431295,15,66,zeros_12_15
